,nome,porcentagem_desconto,preco,tipo
584,cities skylines,70,26.69,padrao
585,luftrausers,0,16.99,padrao
586,assassins creed chronicles china,70,8.99,padrao
587,blackguards 2,0,18.99,padrao
588,strider,70,7.49,padrao
589,necrovision lost company,0,23.5,padrao
590,brothers in arms hells highway,60,11.99,padrao
591,tom clancys splinter cell double agent,75,7.49,padrao
592,rain world downpour,0,46.99,dlc
593,lego star wars™ the skywalker saga character collection,60,19.99,dlc
594,children of morta ancient spirits,0,10.89,dlc
595,conan exiles  architects of argos pack,25,18.74,dlc
596,destiny 2 alem da luz,60,35.99,dlc
597,crypt of the necrodancer amplified,0,13.99,dlc
598,uno  flip theme,40,8.99,dlc
