,nome,porcentagem_desconto,preco,tipo
130,far cry 3,70,17.99,padrao
131,mortal kombat 11  aftermath,80,25.99,dlc
132,overcooked! 2,0,59.9,padrao
133,assassins creed odyssey,80,35.99,padrao
134,decay  the mare,0,10.49,padrao
135,devil may cry 3  special edition,75,9.99,padrao
136,above snakes,10,66.59,padrao
137,injustice gods among us ultimate edition,80,17.99,padrao
138,the lego movie 2 videogame,94,6.5,padrao
139,the evil within,75,12.49,padrao
140,xbox  cartao presente digital 100 reais,0,100.0,padrao
141,resident evil 2  biohazard re2,75,22.49,padrao
142,lego dc supervillains  deluxe edition,94,12.75,padrao
143,f.e.a.r. 2 project origin,94,3.5,padrao
144,scribblenauts unlimited,94,4.5,padrao
145,castlevania lord of shadows  mirror of fate hd,0,27.99,padrao
146,resident evil hd remaster,75,9.99,padrao
147,metal gear solid v the definitive experience,0,98.99,padrao
148,castlevania lords of shadow 2,0,72.99,padrao
149,batman arkham origins,85,13.49,padrao
150,lego star wars the force awakens  deluxe edition,94,6.5,pacote
151,resident evil 4 (2005),75,9.99,padrao
152,lego star wars the force awakens,94,4.5,padrao
153,xbox  cartao presente digital 5 reais,0,5.0,padrao
154,xbox  cartao presente digital 200 reais,0,200.0,padrao
155,lego batman 3 beyond gotham,94,4.5,padrao
156,xbox  cartao presente digital 25 reais,0,25.0,padrao
157,tom clancys the division 2,85,13.49,padrao
158,lego marvel super heroes 2  season pass,90,2.99,dlc
159,batman arkham origins blackgate  deluxe edition,85,13.49,padrao
160,v rising  sinister evolution,0,32.99,dlc
161,valhalla hills fire mountains dlc,0,2.29,dlc
162,metal gear rising  revengeance,0,49.99,padrao
163,cold fear,80,5.99,padrao
164,euro truck simulator 2  road to the black sea,0,44.99,dlc
165,assassins creed valhalla  deluxe edition,75,68.74,padrao
166,my hero ones justice 2 deluxe edition,85,34.48,padrao
167,monster hunter world iceborne master edition deluxe,50,74.99,padrao
168,mega man legacy collection,60,11.99,padrao
169,assassins creed  freedom cry (standalone),75,11.24,padrao
170,"warhammer 40,000 boltgun",10,71.9,padrao
171,f1 manager 2022,0,99.99,padrao
172,ducktales remastered,75,7.49,padrao
173,mafia trilogy,60,111.96,padrao
174,system shock,25,148.9,prevenda
175,a lenda do heroi  ediçao definitiva,0,29.99,padrao
176,scooby doo!  looney tunes cartoon universe adventure,94,4.5,padrao
177,squad,25,70.49,padrao
178,valhalla hills sand of the damned,0,2.29,dlc
179,dragon ball z kakarot  deluxe edition,75,62.47,padrao
180,golf with your friends,0,37.99,padrao
181,wolfenstein ii the new colossus,85,23.25,padrao
182,overcooked,0,38.99,padrao
183,lego dc supervillains season pass,90,4.99,dlc
184,batman arkham knight season pass,85,10.49,dlc
185,south park the fractured but whole  gold edition,80,47.99,padrao
186,the last of us  part i,10,223.99,padrao
187,dragon ball xenoverse 2,85,32.23,padrao
188,assassins creed rogue,70,17.99,padrao
189,assassins creed directors cut edition,70,17.99,padrao
190,wartales,0,129.99,padrao
191,enter the gungeon,0,46.99,padrao
192,lego marvel vingadores,90,8.99,padrao
193,wolfenstein 3d,70,2.69,padrao
194,far cry primal digital apex edition,75,26.24,padrao
195,euro truck simulator 2  beyond the baltic sea,0,44.99,dlc
196,worms revolution gold edition,0,45.99,padrao
197,doom 3,60,15.6,padrao
198,gotham knights,65,104.99,padrao
199,fallout 4 season pass,65,36.74,dlc
200,resident evil village gold edition,40,101.94,padrao
201,assassins creed valhalla  complete edition,70,149.99,padrao
202,street fighter  30th anniversary,67,29.69,padrao
203,marvel vs. capcom infinite deluxe,80,25.99,padrao
204,wolfenstein ii the new colossus  digital deluxe edition,85,37.35,padrao
205,wolfenstein youngblood,70,17.99,padrao
206,super bomberman r,0,150.0,padrao
207,rayman legends,80,17.99,padrao
208,assassins creed brotherhood,70,17.99,padrao
209,rage,60,11.99,padrao
210,naruto storm 4 road to boruto expansion,50,18.49,dlc
211,enigma do medo  bundle do detetive,10,85.0,prevenda
212,doom eternal  deluxe edition  steam,67,82.17,padrao
213,far cry new dawn  ultimate bundle,85,52.49,padrao
214,american truck simulator enchanted edition,0,115.26,padrao
215,ghostwire tokyo,60,83.6,padrao
